GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rest-api,com.example.restapi,RestApiApplication,5,3,0,0,2,1,1,1,1,1
rest-api,com.example.restapi,DataLoader,4,244,3,3,2,32,3,3,0,3
rest-api,com.example.restapi.controller,ReservaController,0,226,0,22,0,49,0,19,0,8
rest-api,com.example.restapi.controller,ClienteController,0,152,0,10,0,38,0,14,0,9
rest-api,com.example.restapi.controller,HabitacionController,28,88,0,2,8,22,2,14,2,13
rest-api,com.example.restapi.controller,CheckOutController,0,28,0,4,0,9,0,4,0,2
rest-api,com.example.restapi.controller,CheckInController,6,97,5,25,2,23,5,12,0,2
rest-api,com.example.restapi.controller,ProblemaController,0,43,0,2,0,12,0,5,0,4
rest-api,com.example.restapi.model,Problema,0,66,0,0,0,28,0,19,0,19
rest-api,com.example.restapi.model,CheckIn,0,153,0,0,0,47,0,32,0,32
rest-api,com.example.restapi.model,Reserva,0,144,0,2,0,34,0,24,0,23
rest-api,com.example.restapi.model,Cliente,0,73,0,0,0,23,0,16,0,16
rest-api,com.example.restapi.model,Habitacion,0,73,0,0,0,23,0,16,0,16
rest-api,com.example.restapi.service,CheckInService,0,46,0,4,0,14,0,4,0,2
rest-api,com.example.restapi.service,HabitacionService,22,219,0,12,4,45,2,21,2,15
rest-api,com.example.restapi.service,CheckOutService,0,54,0,4,0,17,0,4,0,2
rest-api,com.example.restapi.service,ClienteService,0,101,0,8,0,22,0,12,0,8
rest-api,com.example.restapi.service,ReservaService,0,223,0,20,0,56,0,18,0,8
rest-api,com.example.restapi.service,ProblemaService,0,30,0,0,0,8,0,5,0,5
